observation_date,oil_usd,oil_log,oil_log_diff,D_lib,D_covid,oil_x_Dlib
2008Q1,96.93336507936509,4.574023784494967,0.09033925107367669,0,0,0.0
2008Q2,121.39696248196248,4.799065857570714,0.22504207307574653,0,0,0.0
2008Q3,114.39875901875901,4.73969023114874,-0.059375626421974026,0,0,-0.0
2008Q4,54.66054122460301,4.001142082108475,-0.7385481490402643,0,0,-0.0
2009Q1,44.434897129186595,3.7940251321025014,-0.20711695000597397,0,0,-0.0
2009Q2,58.6979834054834,4.072405371993221,0.2783802398907196,0,0,0.0
2009Q3,68.19673881673882,4.222396745769721,0.1499913737765004,0,0,0.0
2009Q4,74.62930303030303,4.312533232097986,0.09013648632826499,0,0,0.0
2010Q1,76.24895499618611,4.334003710425556,0.02147047832756943,0,0,0.0
2010Q2,78.50800937950937,4.3632006498958456,0.029196939470289784,0,0,0.0
2010Q3,76.82000721500721,4.341465116838702,-0.02173553305714382,0,0,-0.0
2010Q4,86.46211399711399,4.459706329520196,0.11824121268149401,0,0,0.0
2011Q1,104.96109801678108,4.65358978642899,0.19388345690879394,0,0,0.0
2011Q2,117.36037277537277,4.765249310170622,0.11165952374163268,0,0,0.0
2011Q3,113.342284992785,4.730412311053384,-0.03483699911723814,0,0,-0.0
2011Q4,109.39619841269841,4.694976139957217,-0.03543617109616726,0,0,-0.0
2012Q1,118.4861515151515,4.774796088894915,0.07981994893769784,0,0,0.0
2012Q2,108.30563492063493,4.684957183314846,-0.08983890558006902,0,0,-0.0
2012Q3,109.61278086520649,4.696953981448698,0.011996798133852238,0,0,0.0
2012Q4,110.08781366459628,4.701278353357416,0.004324371908717595,0,0,0.0
2013Q1,112.49484210526316,4.722907372640209,0.02162901928279304,0,0,0.0
2013Q2,102.5754393939394,4.630598521954848,-0.09230885068536043,0,0,-0.0
2013Q3,110.27004545454547,4.702932315981851,0.0723337940270028,0,0,0.0
2013Q4,109.20839613526569,4.6932579480406815,-0.009674367941169493,0,0,-0.0
2014Q1,108.16640198982304,4.683670800537661,-0.009587147503020255,0,0,-0.0
2014Q2,109.69652236652236,4.697717665470778,0.014046864933116687,0,0,0.0
2014Q3,101.82256854256855,4.623231774462912,-0.07448589100786585,0,0,-0.0
2014Q4,76.39937070938215,4.335974459350361,-0.2872573151125515,0,0,-0.0
2015Q1,53.91348484848485,3.9873806293421894,-0.34859383000817123,0,0,-0.0
2015Q2,61.69233766233766,4.122159736203351,0.13477910686116124,0,0,0.0
2015Q3,50.233162055335974,3.916675407310272,-0.20548432889307877,0,0,-0.0
2015Q4,43.567691197691204,3.774315848082451,-0.14235955922782084,0,0,-0.0
2016Q1,33.69715151515152,3.517413309012944,-0.256902539069507,1,0,-0.256902539069507
2016Q2,45.52432900432901,3.8182468864458308,0.30083357743288675,1,0,0.30083357743288675
2016Q3,45.787558504297635,3.8240124058392544,0.005765519393423624,1,0,0.005765519393423624
2016Q4,49.188323953823954,3.895656277322179,0.07164387148292439,1,0,0.07164387148292439
2017Q1,53.67843236714975,3.9830112889424742,0.08735501162029546,1,0,0.08735501162029546
2017Q2,49.66753276471812,3.9053514553411066,-0.07765983360136763,1,0,-0.07765983360136763
2017Q3,52.11192546583851,3.953393818264174,0.048042362923067294,1,0,0.048042362923067294
2017Q4,61.5318341307815,4.119554669032027,0.16616085076785314,1,0,0.16616085076785314
2018Q1,66.80381313131313,4.2017601617175275,0.08220549268550048,1,0,0.08220549268550048
2018Q2,74.49533333333333,4.310736483602529,0.1089763218850015,1,0,0.1089763218850015
2018Q3,75.22445059288538,4.320476318971796,0.009739835369266814,1,0,0.009739835369266814
2018Q4,67.71423622413393,4.215296441772276,-0.10517987719951982,1,0,-0.10517987719951982
2019Q1,63.16953896103897,4.145822206499283,-0.06947423527299268,1,0,-0.06947423527299268
2019Q2,68.92385353535353,4.233002323261961,0.08718011676267778,1,0,0.08718011676267778
2019Q3,61.929205094422485,4.125991879318142,-0.10701044394381931,1,0,-0.10701044394381931
2019Q4,63.38069703243616,4.149159351874061,0.023167472555918778,1,0,0.023167472555918778
2020Q1,50.437939393939395,3.9207436576440555,-0.22841569423000507,1,0,-0.22841569423000507
2020Q2,29.341421850079744,3.3790002326885444,-0.5417434249555111,1,1,-0.5417434249555111
2020Q3,42.96257312252965,3.7603293441827588,0.38132911149421433,1,0,0.38132911149421433
2020Q4,44.291854256854265,3.7908007833232293,0.03047143914047057,1,0,0.03047143914047057
2021Q1,60.820166666666665,4.107921422572111,0.31712063924888145,1,0,0.31712063924888145
2021Q2,68.83493381180223,4.231711374965846,0.12378995239373491,1,0,0.12378995239373491
2021Q3,73.46722943722943,4.296839448797682,0.06512807383183628,1,0,0.06512807383183628
2021Q4,79.58619047619048,4.376840591319798,0.0800011425221161,1,0,0.0800011425221161
2022Q1,100.29315182884746,4.608097415756035,0.23125682443623674,1,0,0.23125682443623674
2022Q2,113.54127819548872,4.732166455346015,0.12406903958998061,1,0,0.12406903958998061
2022Q3,100.71227994227995,4.612267738091916,-0.11989871725409973,1,0,-0.11989871725409973
2022Q4,88.55711976911978,4.483647764939247,-0.12861997315266827,1,0,-0.12861997315266827
2023Q1,81.17359213250518,4.3965899742290855,-0.08705779071016195,1,0,-0.08705779071016195
2023Q2,78.31447474747475,4.360732448587043,-0.03585752564204281,1,0,-0.03585752564204281
2023Q3,86.65940115440115,4.461985505999417,0.10125305741237423,1,0,0.10125305741237423
2023Q4,83.72232057416268,4.427505615470801,-0.03447989052861633,1,0,-0.03447989052861633
2024Q1,83.00356204906205,4.418883523129481,-0.008622092341319387,1,0,-0.008622092341319387
2024Q2,84.64342857142857,4.438447474986037,0.019563951856556017,1,0,0.019563951856556017
2024Q3,79.84164941338854,4.380045290775142,-0.05840218421089549,1,0,-0.05840218421089549
2024Q4,74.61244893029675,4.312307369028751,-0.06773792174639048,1,0,-0.06773792174639048
